pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
50,c,7,2,30,2,,,,,100.6096768998541,101.60958839999512,101.60958839999512,101.60958839999512,101.60958839999512,101.60958839999512,102.60925889993086,102.60925889993086,c,1,0.8138840000610799,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-150,z,7,3,31,3,,,,,103.44232489983551,104.44237990002148,104.44237990002148,104.44237990002148,104.44237990002148,104.44237990002148,105.44187489990145,105.44187489990145,z,1,0.3343326000031084,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-50,x,8,0,32,0,,,,,105.80806980002671,106.8078953998629,106.8078953998629,106.8078953998629,106.8078953998629,106.8078953998629,107.80748159997165,107.80748159997165,x,1,0.3926222000736743,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
150,v,8,1,33,1,,,,,108.22357139992528,109.22335789981298,109.22335789981298,109.22335789981298,109.22335789981298,109.22335789981298,110.2233135998249,110.2233135998249,v,1,1.0128524000756443,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
50,c,8,2,34,2,,,,,111.25629359995946,112.25582349998876,112.25582349998876,112.25582349998876,112.25582349998876,112.25582349998876,113.25563559983857,113.25563559983857,c,1,1.427749800030142,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-150,z,8,3,35,3,,,,,114.70521899987943,115.7047154000029,115.7047154000029,115.7047154000029,115.7047154000029,115.7047154000029,116.70444049988873,116.70444049988873,z,1,0.2726646999362856,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-50,x,9,0,36,0,,,,,117.00427139992826,118.0039303000085,118.0039303000085,118.0039303000085,118.0039303000085,118.0039303000085,119.0036963999737,119.0036963999737,x,1,0.7730948000680655,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
150,v,9,1,37,1,,,,,119.80350099992938,120.80294939992018,120.80294939992018,120.80294939992018,120.80294939992018,120.80294939992018,121.80248610000126,121.80248610000126,v,1,0.6232526001986116,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
50,c,9,2,38,2,,,,,122.45244179992005,123.452055899892,123.452055899892,123.452055899892,123.452055899892,123.452055899892,124.45200399984606,124.45200399984606,c,1,0.7345670000649989,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-150,z,9,3,39,3,,,,,125.21816829987802,126.21790019981563,126.21790019981563,126.21790019981563,126.21790019981563,126.21790019981563,127.21758679999039,127.21758679999039,z,1,1.0992829003371298,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
